Regional,Nivel,Programa,Total,Estrato,Ano,Periodo
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,1,3,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,7,3,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,2,4,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,1,1,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,3,2,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,3,3,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,5,3,2022,2
Bogotá,DIPLOMADO,DIP. ALTA GERENCIA MODALIDAD REMOTA,1,4,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,1,2,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,3,2,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,2,3,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,7,3,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,1,1,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,2,2,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,1,3,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,13,3,2022,2
Bogotá,DIPLOMADO,DIPLOMADO DERECHO DE FAMILIA MODALIDAD REMOTO,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,25,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,4,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,54,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,10,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,44,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,4,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,10,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,3,5,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,1,6,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,1,N,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,2,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,15,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,4,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,28,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,16,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,30,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,8,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,10,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,1,5,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,1,5,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE EMPRESAS A DISTANCIA,2,6,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,2,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,3,3,2022,2
