Edad,Sexo,Marihuana,Cocaina,LSD,extasis,Popper,2cb,Tabaco,Bebidas alcoholicas
27,Hombre,No,No,No,No,No,No,Si,Si
17,Mujer,No,No,No,No,Si,No,No,Si
17,Mujer,No,No,No,No,No,No,No,Si
17,Hombre,Si,Si,Si,Si,Si,No,Si,Si
20,Mujer,Si,No,No,No,Si,No,No,No
24,Mujer,Si,No,Si,No,No,No,Si,Si
24,Mujer,No,No,No,No,No,No,No,Si
23,Mujer,Si,No,No,No,Si,No,Si,Si
20,Hombre,Si,No,No,No,Si,No,Si,Si
26,Mujer,Si,No,Si,Si,Si,No,No,Si
22,Hombre,No,No,No,No,No,No,No,Si
